Region;Model - Scenario;Variable;Unit;2005;2010;2020;2030;2040;2050;2060;2070;2080;2090;2100
R5.2LAM;MESSAGE-GLOBIOM - SSP2-60;Emissions|Kyoto Gases;Mt CO2-equiv/yr;6914.003;6682.411;6837.631;6654.566;6891.699;6709.259;6061.158;5760.489;6241.356;7871.541;7727.278
R5.2LAM;MESSAGE-GLOBIOM - SSP2-Baseline;Emissions|Kyoto Gases;Mt CO2-equiv/yr;6914.003;6682.385;6847.616;6686.966;6985.431;7068.725;7068.663;7393.062;8628.631;10343.099;10998.888
R5.2LAM;REMIND-MAGPIE - SSP5-26;Emissions|Kyoto Gases;Mt CO2-equiv/yr;3773;4684;4865;5733;4888;2647;2019;679.9;-392.4;-1108;-1592
R5.2LAM;REMIND-MAGPIE - SSP5-34;Emissions|Kyoto Gases;Mt CO2-equiv/yr;3773;4684;4865;5840;5218;3716;2873;1707;445;-382.2;-1219
R5.2LAM;REMIND-MAGPIE - SSP5-45;Emissions|Kyoto Gases;Mt CO2-equiv/yr;3773;4684;4865;5939;5516;4251;3118;2059;1226;702.4;797.7
R5.2LAM;REMIND-MAGPIE - SSP5-60;Emissions|Kyoto Gases;Mt CO2-equiv/yr;3773;4684;4865;6080;6134;5701;5627;5337;4758;4058;3847
R5.2LAM;REMIND-MAGPIE - SSP5-Baseline;Emissions|Kyoto Gases;Mt CO2-equiv/yr;3773;4685;8262;7328;7086;7217;7668;8324;8614;8194;7793
R5.2MAF;AIM/CGE - SSP3-34;Emissions|Kyoto Gases;Mt CO2-equiv/yr;5146.142;7776.866;10065.886;11500.226;8448.499;7257.422;7373.218;6222.226;5650.666;4826.921;4534.062
R5.2MAF;AIM/CGE - SSP3-45;Emissions|Kyoto Gases;Mt CO2-equiv/yr;5146.142;7776.866;10083.062;11502.333;10375.995;10004.81;9255.918;9270.477;8988.397;8062.206;7341.735
R5.2MAF;AIM/CGE - SSP3-60;Emissions|Kyoto Gases;Mt CO2-equiv/yr;5146.142;7776.866;10088.973;11517.352;11404.618;11978.908;13660.96;13754.242;13640.27;13834.409;14325.499
R5.2MAF;AIM/CGE - SSP3-Baseline;Emissions|Kyoto Gases;Mt CO2-equiv/yr;5146.142;7784.96;10108.104;11629.021;13373.966;15401.038;17785.246;20019.168;22661.43;26069.473;30122.985
R5.2MAF;IMAGE - SSP1-26;Emissions|Kyoto Gases;Mt CO2-equiv/yr;4860.807;5246.836;5896.417;5827.669;4980.927;4243.003;4174.301;3567.941;2428.823;1327.303;993.857
