;SSP1;;;;;SSP2;;;;;SSP3;;;;;SSP4;;;;;SSP5;;;;
Botswana;1.875673;2.006945;2.220141329;2.376462045;2.492191091;1.875673;2.006945;2.241843215;2.428148046;2.58862726;1.875673;2.006945;2.185740097;2.301504993;2.387058634;1.875673;2.006945;2.18135267;2.263582286;2.281770363;1.875673;2.006945;2.232662684;2.420076181;2.573097932
Brazil;185.986964;194.94647;208.2600428;215.8396746;217.9733496;185.986964;194.94647;210.7426465;222.8190887;229.8405936;185.986964;194.94647;213.251581;230.452257;243.6544803;185.986964;194.94647;209.1202978;217.3135903;219.0497684;185.986964;194.94647;207.9911079;215.0199691;216.625237
Brunei Darussalam;0.363123;0.39892;0.455017513;0.495557385;0.524755846;0.363123;0.39892;0.466367704;0.527163853;0.58045509;0.363123;0.39892;0.462037031;0.517499932;0.567707526;0.363123;0.39892;0.45490619;0.496277612;0.525302212;0.363123;0.39892;0.457051258;0.502945568;0.536720909
Bulgaria;7.739115;7.494332;7.058643731;6.70760009;6.4195971;7.739115;7.494332;7.068283427;6.753596695;6.509644716;7.739115;7.494332;7.099839527;6.782083929;6.528204314;7.739115;7.494332;7.034614199;6.638617705;6.285631743;7.739115;7.494332;7.055880004;6.754666797;6.54148117
Burkina Faso;14.198463;16.468714;20.861569;25.18247708;29.23393422;14.198463;16.468714;21.56660214;27.29089544;33.13461865;14.198463;16.468714;22.24351409;29.58535049;38.01075169;14.198463;16.468714;22.16221421;29.25417039;37.31430991;14.198463;16.468714;20.76419637;24.81091303;28.4843342
Burundi;7.251424;8.382244466;10.72446329;12.68280911;14.29323242;7.251424;8.382244466;10.8920538;13.08582371;15.05635209;7.251424;8.382244466;10.82644565;12.92958972;14.8465851;7.251424;8.382244466;11.0147069;13.50548067;15.80767413;7.251424;8.382244466;10.90268071;13.2133983;15.18517063
Cabo Verde;0.472883;0.495999;0.522755931;0.530864455;0.525116163;0.472883;0.495999;0.533006928;0.558838552;0.572151482;0.472883;0.495999;0.552245664;0.62121559;0.68323303;0.472883;0.495999;0.527164609;0.539839047;0.537544179;0.472883;0.495999;0.511634976;0.494914366;0.464250378
Cambodia;13.357574;14.138255;15.32906126;15.93127777;16.0324034;13.357574;14.138255;15.60688562;16.6599821;17.28865622;13.357574;14.138255;15.94144315;17.84263275;19.35248298;13.357574;14.138255;15.31398357;15.91601263;15.98291456;13.357574;14.138255;15.14562318;15.33767079;15.0393539
Cameroon;17.553589;19.598889;23.14958228;26.17459;28.62564472;17.553589;19.598889;23.65448885;27.31549023;30.62055625;17.553589;19.598889;24.17637748;28.84894839;33.31919647;17.553589;19.598889;24.19275327;28.88540161;33.33867344;17.553589;19.598889;23.13566934;26.12619591;28.53566166
Canada;32.283413;34.016593;37.89799087;41.82132434;45.44367864;32.283413;34.016593;37.76420046;41.38359104;44.54026687;32.283413;34.016593;36.66872462;37.8117644;37.96330119;32.283413;34.016593;37.49499612;40.48683089;42.80981131;32.283413;34.016593;38.87643116;45.10703462;51.57616213
Central African Republic;4.01788;4.401051;5.137076293;5.803834457;6.322704779;4.01788;4.401051;5.258528799;6.097162557;6.834281475;4.01788;4.401051;5.328631447;6.318506847;7.23185093;4.01788;4.401051;5.331608428;6.326468252;7.242307162;4.01788;4.401051;5.139823659;5.811990717;6.336129355
Chad;9.785902;11.227208;14.19085056;17.16867366;19.82979871;9.785902;11.227208;14.53216054;18.25462333;21.91175139;9.785902;11.227208;14.78241726;19.09246153;23.68300701;9.785902;11.227208;14.72240525;18.87046837;23.25073013;9.785902;11.227208;14.13527219;16.96581271;19.43599023
Chile;16.301726;17.113688;18.39070842;19.16674998;19.46463572;16.301726;17.113688;18.56688966;19.6856187;20.33754247;16.301726;17.113688;18.74294308;20.19944834;21.23133052;16.301726;17.113688;18.44969298;19.26757315;19.52043327;16.301726;17.113688;18.40927997;19.22416527;19.57076197
China;1307.593489;1341.335152;1371.171391;1359.512922;1308.940467;1307.593489;1341.335152;1379.229024;1380.651244;1339.586953;1307.593489;1341.335152;1385.689297;1398.878559;1368.545423;1307.593489;1341.335152;1368.806413;1349.996518;1285.916896;1307.593489;1341.335152;1370.950314;1359.188423;1308.69294
China_Taiwan;;;;;;;;;;;;;;;;;;;;;;;;;
Colombia;43.040558;46.294841;51.48137453;55.12304674;57.37034008;43.040558;46.294841;52.23309284;57.32776863;61.22450228;43.040558;46.294841;53.12304615;60.05140595;66.34614435;43.040558;46.294841;51.85178749;55.96009467;58.48574845;43.040558;46.294841;51.41108317;54.89778197;56.98083922
Comoros;0.642974;0.73475;0.862602888;0.949429776;1.013133451;0.642974;0.73475;0.901072053;1.048325954;1.187017116;0.642974;0.73475;0.942644844;1.185181148;1.445494431;0.642974;0.73475;0.934342131;1.156737323;1.389147493;0.642974;0.73475;0.855923385;0.926755292;0.970861898
Congo;3.533177;4.042899;83.88284152;5.822113758;117.503649;3.533177;4.042899;85.77145184;6.080040593;127.4273571;3.533177;4.042899;88.11516659;6.287235513;138.7483272;3.533177;4.042899;88.05551307;6.403862682;138.0153997;3.533177;4.042899;83.85291234;5.916472278;117.2414123
Congo_the Democratic Republic of the;57.420522;65.965795;4.973111677;101.7036894;6.558972678;57.420522;65.965795;5.077470425;107.3503611;7.032311362;57.420522;65.965795;5.141487169;113.3835213;7.43013893;57.420522;65.965795;5.178088191;113.1126648;7.619533028;57.420522;65.965795;5.003272346;101.5785723;6.71903832
Cook Islands;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;4.309413;4.658887;5.250640631;5.699868769;6.018740586;4.309413;4.658887;5.326161589;5.910526211;6.386626991;4.309413;4.658887;5.362279364;6.010182363;6.573712299;4.309413;4.658887;5.300536103;5.80439325;6.158293466;4.309413;4.658887;5.290638881;5.822129699;6.23050383
Cote d'Ivoire;18.020946;19.7378;22.51340462;24.65239321;26.15980507;18.020946;19.7378;23.15214875;26.17945832;28.75698961;18.020946;19.7378;24.16443257;29.33776806;34.46714738;18.020946;19.7378;23.95501403;28.58516405;33.03866676;18.020946;19.7378;22.27963197;23.85475767;24.70333009
Croatia;4.441986;4.40333;4.329850442;4.225136487;4.104961062;4.441986;4.40333;4.339181369;4.259337845;4.16681018;4.441986;4.40333;4.335720901;4.243233368;4.132396313;4.441986;4.40333;4.311129978;4.173795479;4.010486931;4.441986;4.40333;4.341722129;4.272875196;4.19866952
Cuba;11.254242;11.257979;11.03128649;10.56224353;9.878453836;11.254242;11.257979;11.08345738;10.69477464;10.05612416;11.254242;11.257979;11.25653968;11.17599933;10.81226836;11.254242;11.257979;11.03778832;10.53634287;9.764166226;11.254242;11.257979;10.93701887;10.2937235;9.463169564
Cyprus;1.032562;1.103647;1.241488569;1.355021884;1.444213439;1.032562;1.103647;1.247774412;1.377404966;1.484314186;1.032562;1.103647;1.234500888;1.334740775;1.410033657;1.032562;1.103647;1.23902346;1.347925855;1.428387677;1.032562;1.103647;1.262849509;1.42005134;1.55425215
Czech Republic;10.220638;10.49296;11.02250913;11.42969173;11.73665313;10.220638;10.49296;10.97191833;11.29183182;11.47777517;10.220638;10.49296;10.73377333;10.54630809;10.13327996;10.220638;10.49296;10.9043337;11.07545325;11.07818441;10.220638;10.49296;11.21367625;12.0308765;12.81936202
Denmark;5.419444;5.550142;5.836092985;6.170396118;6.487935235;5.419444;5.550142;5.806201932;6.086939581;6.33765024;5.419444;5.550142;5.68556818;5.693821569;5.60791971;5.419444;5.550142;5.760678474;5.919214804;6.009885865;5.419444;5.550142;5.930095983;6.48938236;7.092074944
Djibouti;0.808367;0.888716;1.03321137;1.149176382;1.234707074;0.808367;0.888716;1.044600448;1.181745206;1.294032056;0.808367;0.888716;1.048082156;1.206157214;1.342105435;0.808367;0.888716;1.048306874;1.204816728;1.337483028;0.808367;0.888716;1.032554787;1.145879432;1.228000748
Dominica;;;;;;;;;;;;;;;;;;;;;;;;;
Dominican Republic;9.264267;9.92732;10.8851697;11.49962203;11.78693462;9.264267;9.92732;11.06585922;12.00569751;12.69615089;9.264267;9.92732;11.33332231;12.86753244;14.3081743;9.264267;9.92732;10.96470705;11.66497415;12.00843461;9.264267;9.92732;10.80249144;11.23309035;11.32488701
Ecuador;13.426402;14.464739;16.09067541;17.22899115;17.91731769;13.426402;14.464739;16.34729437;17.97379885;19.23964413;13.426402;14.464739;16.81202873;19.34407493;21.7524736;13.426402;14.464739;16.30557741;17.68857265;18.57117122;13.426402;14.464739;16.01899725;16.9961794;17.51115516
Egypt;74.203215;81.121077;93.38150579;102.467878;109.1193236;74.203215;81.121077;94.74985311;106.6854021;116.8677768;74.203215;81.121077;96.21620912;111.6578686;126.5790363;74.203215;81.121077;93.39306662;102.4714064;108.9591894;74.203215;81.121077;93.15229631;101.7099576;107.7669308
El Salvador;6.050513;6.192993;6.286916828;6.122881583;5.822051864;6.050513;6.192993;6.383133389;6.395593296;6.290593195;6.050513;6.192993;6.67584886;7.293206144;7.839434156;6.050513;6.192993;6.321939511;6.199252441;5.93157618;6.050513;6.192993;6.117551402;5.590396549;4.939041477
Equatorial Guinea;0.607739;0.700401;0.879215682;1.048922374;1.196360592;0.607739;0.700401;0.901079124;1.097254638;1.280124269;0.607739;0.700401;0.903263003;1.104925959;1.29884569;0.607739;0.700401;0.916894577;1.148891966;1.371103209;0.607739;0.700401;0.891538526;1.087292811;1.261840997
Eritrea;4.486155;5.253676;6.733000407;8.026983162;9.22314269;4.486155;5.253676;6.925514324;8.539353975;10.19322519;4.486155;5.253676;6.849700699;8.526038505;10.28961727;4.486155;5.253676;6.893326279;8.665232885;10.52316504;4.486155;5.253676;6.767693685;8.136665069;9.411800161
Estonia;1.345857;1.34114;1.32986303;1.312244981;1.302773368;1.345857;1.34114;1.324625336;1.296963575;1.272921745;1.345857;1.34114;1.307527728;1.241943608;1.16703182;1.345857;1.34114;1.316934787;1.273734746;1.229587881;1.345857;1.34114;1.341763552;1.351665915;1.380529699
Ethiopia;74.263861;82.94953974;100.8145582;117.1233891;129.9382268;74.263861;82.94953974;103.0214106;123.9713783;142.6099658;74.263861;82.94953974;104.8139551;130.9898038;157.430008;74.263861;82.94953974;104.7603479;130.8140491;156.9390394;74.263861;82.94953974;100.5908292;116.3049689;128.4144645
European Union;;;;;;;;;;;;;;;;;;;;;;;;;
Fiji;0.822553;0.860623;0.896981872;0.893950875;0.866206827;0.822553;0.860623;0.92458053;0.960068297;0.975172299;0.822553;0.860623;0.933563417;1.009400706;1.069874618;0.822553;0.860623;0.896805142;0.895288005;0.866455723;0.822553;0.860623;0.880651821;0.844190706;0.781775877
Finland;5.244342;5.364545106;5.646057252;5.924332595;6.160758538;5.244342;5.364545106;5.617040206;5.844695797;6.011926668;5.244342;5.364545106;5.508378548;5.491076934;5.356196995;5.244342;5.364545106;5.571175869;5.685848187;5.708691169;5.244342;5.364545106;5.729776053;6.203049122;6.682571709
France;60.996506;62.78741655;66.86693013;71.02161467;75.06007655;60.996506;62.78741655;66.60912473;70.32432008;73.70742941;60.996506;62.78741655;65.4465003;66.5062374;66.5266923;60.996506;62.78741655;66.14464661;68.77466277;70.73157235;60.996506;62.78741655;67.81832058;74.24696663;81.19313627
Gabon;1.370729;1.505463;1.736566442;1.926072816;2.063367006;1.370729;1.505463;1.75945683;1.981841287;2.158095736;1.370729;1.505463;1.7838184;2.054069888;2.287374667;1.370729;1.505463;1.784981707;2.052772247;2.280452768;1.370729;1.505463;1.737539512;1.925010966;2.058780448
Gambia;1.503678;1.728394;2.121825607;2.442880524;2.700052067;1.503678;1.728394;2.18472491;2.601388718;2.975900127;1.503678;1.728394;2.238825483;2.797034384;3.356828972;1.503678;1.728394;2.228420073;2.752872042;3.260587564;1.503678;1.728394;2.109980488;2.395551148;2.603381709
Georgia;4.477006;4.352244;4.107424071;3.784271472;3.459433611;4.477006;4.352244;4.133945784;3.841959396;3.543430838;4.477006;4.352244;4.236352064;4.119404112;3.98628632;4.477006;4.352244;4.095778379;3.749400991;3.389005026;4.477006;4.352244;4.031425664;3.585553959;3.157211259
Germany;82.540739;82.30246316;82.37700715;82.57816135;82.54367774;82.540739;82.30246316;81.91020284;81.35738862;80.36692734;82.540739;82.30246316;80.55939154;76.96055135;72.28798341;82.540739;82.30246316;81.4885521;79.95426309;77.78013609;82.540739;82.30246316;83.30727533;85.77352077;88.56093934
Ghana;21.639806;24.391823;29.3090757;33.55463046;37.25162836;21.639806;24.391823;30.16143375;35.93140397;41.49993669;21.639806;24.391823;30.75713485;38.12790989;46.13367047;21.639806;24.391823;30.74634848;38.09568637;45.95969528;21.639806;24.391823;29.26273669;33.36481632;36.85476192
Greece;11.183114;11.359346;11.48781814;11.52587329;11.60883453;11.183114;11.359346;11.4302034;11.37935763;11.35058221;11.183114;11.359346;11.28365137;10.89893248;10.42222942;11.183114;11.359346;11.37299829;11.19818436;11.01012604;11.183114;11.359346;11.58983159;11.88118724;12.31609016
Grenada;;;;;;;;;;;;;;;;;;;;;;;;;
Guatemala;12.717154;14.388929;16.88136184;18.72551016;19.97884881;12.717154;14.388929;17.50523624;20.40138659;22.91096183;12.717154;14.388929;18.27752564;22.91594599;27.7676905;12.717154;14.388929;18.16071681;22.47316333;26.8628129;12.717154;14.388929;16.73915491;18.21517351;19.01351572
Guinea;9.041448;9.98159;11.46103743;12.58254083;13.299216;9.041448;9.98159;11.77812361;13.3555459;14.61265866;9.041448;9.98159;12.25925521;14.87453644;17.37954921;9.041448;9.98159;12.05659074;14.14978328;16.02051092;9.041448;9.98159;11.2599776;11.888539;11.99961996
Guinea-Bissau;1.367695;1.515224;1.76477829;1.971666527;2.133931364;1.367695;1.515224;1.811208021;2.074457519;2.306602242;1.367695;1.515224;1.847732943;2.190335407;2.510368952;1.367695;1.515224;1.841711931;2.169198513;2.470259268;1.367695;1.515224;1.758067742;1.948923922;2.092579723
Guyana;0.746235;0.754493;0.762430995;0.748738142;0.71176108;0.746235;0.754493;0.774286933;0.782223272;0.765854245;0.746235;0.754493;0.8040187;0.879697967;0.928402313;0.746235;0.754493;0.768405549;0.760983678;0.725588544;0.746235;0.754493;0.744785314;0.690905938;0.616692208
Haiti;9.347262;9.993247;10.94527857;11.5609915;11.88965595;9.347262;9.993247;11.06689817;11.90074258;12.46203963;9.347262;9.993247;11.36569546;12.84873919;14.18305477;9.347262;9.993247;11.23047735;12.37459255;13.30655687;9.347262;9.993247;10.79155091;11.05283709;10.99278841
Honduras;6.879243;7.600524;8.696787247;9.456910803;9.919930164;6.879243;7.600524;8.923784945;10.06139921;10.98739351;6.879243;7.600524;9.244707774;11.06683381;12.84252029;6.879243;7.600524;9.185155871;10.83696962;12.39155376;6.879243;7.600524;8.624684797;9.201880767;9.453698822
Hungary;10.086936;9.983645;9.783631952;9.630564838;9.457695251;10.086936;9.983645;9.728885418;9.488259794;9.201797064;10.086936;9.983645;9.57807585;9.009026749;8.335188208;10.086936;9.983645;9.684014078;9.335146211;8.915260159;10.086936;9.983645;9.891423118;9.979229748;10.08874797
