Countries;CO2 total excl. Land Use excl. BB (ktCO2);;;;;CH4 ( ktCH4);;;;;N2O (ktN2O);;;;;HFC tot (GWP100, ktCO2e);;;;;PFC tot (GWP100, ktCO2e);;;;;SF6 tot (ktSF6);;;;;CO2 Land Use (ktCO2);;;;;
;1990;1995;2000;2005;2010;1990;1995;2000;2005;2010;1990;1995;2000;2005;2010;1990;1995;2000;2005;2010;1990;1995;2000;2005;2010;1990;1995;2000;2005;2010;1990;1995;2000;2005;2010;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chad;416.77;652.40;686.34;985.76;1115.17;477.98;483.86;563.41;615.03;857.32;25.99;24.62;28.86;28.80;47.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8066.67;8066.67;8066.67;7333.33;25666.67;
Chile;33221.55;41538.40;54375.55;59859.83;73548.10;570.88;690.57;806.14;866.51;858.10;17.08;20.49;24.22;26.70;28.30;0.00;0.00;0.00;0.00;0.00;0.15;0.18;0.20;0.23;0.25;0.00;0.00;0.00;0.00;0.00;-12621.45;-12621.45;-12625.43;-7016.26;-7492.10;
China;2447163.03;3470729.98;3789535.56;6698177.55;9053631.05;48424.30;51210.30;49685.60;63228.20;78202.80;1098.23;1316.43;1382.63;1630.00;1775.15;5970.09;8897.82;38094.00;146690.00;191825.59;4674.49;7740.30;8034.40;10562.80;12358.70;0.07;0.18;0.45;1.21;0.46;-322050.98;-322050.98;-322159.16;-339816.67;-396170.80;
China_Taiwan;125036.07;170652.90;230894.84;270637.72;272651.42;299.88;340.36;366.52;394.86;422.93;12.77;14.93;15.27;16.60;16.04;1.84;9.92;69.07;99.22;134.34;124.88;672.14;4146.33;3209.32;4482.07;0.08;0.05;0.07;0.14;0.13;0.00;0.00;0.00;0.00;0.00;
Colombia;52366.65;61823.16;61664.26;60505.19;64093.99;2392.97;2504.22;2624.69;2749.78;3173.62;65.53;66.15;67.75;69.10;81.09;0.00;0.00;0.00;0.00;0.00;0.15;0.18;0.20;0.23;0.25;0.00;0.00;0.00;0.00;0.00;148580.19;148580.19;148543.07;170153.69;163341.02;
Comoros;47.83;56.78;64.62;74.22;99.00;8.62;9.69;10.66;11.67;13.25;0.14;0.15;0.17;0.17;0.19;0.00;0.01;0.01;0.23;0.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;55.00;55.00;55.00;80.67;73.33;
Congo;2363.49;2658.83;4511.22;4410.29;5364.33;342.58;318.51;383.31;366.24;334.09;14.04;12.39;11.03;11.60;9.35;0.00;0.11;0.85;4.75;6.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12829.27;12829.27;11889.50;13241.17;9784.83;
Congo_the Democratic Republic of the;3362.06;3345.58;2750.75;2776.22;3249.02;4682.83;3886.09;3033.10;2746.89;3517.09;281.18;241.58;188.80;176.00;214.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;146570.96;146570.96;146258.09;146242.46;147048.95;
Cook Islands;8.79;12.36;27.61;23.67;28.65;0.15;0.20;0.21;0.17;0.18;0.01;0.01;0.01;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-49.51;-49.51;-49.51;-9.69;-47.79;
Costa Rica;2911.89;4973.16;5093.87;6619.05;7235.16;179.45;145.32;138.90;115.95;108.15;6.00;6.21;5.43;4.75;4.95;0.01;2.67;25.24;61.47;82.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6181.99;6181.99;6187.70;-7629.71;-7630.02;
