year            ;1990;1995;2000;2005;2010;2011;2012
74;2.38E+12;2.80E+12;3.19E+12;2.70E+12;3.78E+12;3.12E+12;3.06E+12
75;3.68E+11;4.45E+11;4.40E+11;4.35E+11;9.10E+11;5.57E+11;7.73E+11
79;-3.65E+12;-4.95E+12;-5.99E+12;-5.10E+12;-5.12E+12;-4.32E+12;-4.55E+12
80;9.16E+11;-7.02E+10;-4.69E+11;-5.37E+11;-5.06E+11;-5.32E+11;-6.10E+11
81;5.98E+12;1.23E+13;1.26E+13;6.76E+12;1.16E+13;9.87E+12;8.56E+12
83;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
84;1.68E+12;2.83E+11;-6.82E+11;-1.56E+12;3.98E+12;3.25E+12;2.99E+12
89;1.77E+13;1.32E+13;1.22E+13;1.08E+13;5.18E+12;3.81E+12;3.47E+12
90;2.67E+12;3.48E+12;3.83E+12;5.42E+12;5.30E+12;4.73E+12;5.29E+12
91;2.58E+12;3.00E+12;2.79E+12;1.54E+12;1.60E+12;1.41E+12;1.57E+12
93;1.86E+11;2.79E+11;3.03E+11;1.15E+11;9.23E+11;4.50E+11;1.22E+12
95;5.13E+12;2.35E+12;9.89E+11;1.13E+12;3.75E+12;2.34E+12;2.56E+12
97;-1.25E+12;-2.26E+12;-3.14E+12;-2.70E+12;-3.96E+12;-3.71E+12;-3.75E+12
98;2.38E+10;-1.17E+12;-1.87E+12;-3.37E+12;-1.40E+12;-1.73E+12;-1.05E+12
99;1.54E+11;4.16E+10;-5.63E+10;-5.42E+10;6.02E+11;1.71E+11;3.66E+10
100;6.41E+13;5.30E+13;4.37E+13;1.54E+13;1.63E+13;1.64E+13;1.66E+13
101;1.44E+14;9.28E+13;7.31E+13;8.86E+13;1.70E+14;1.06E+14;1.81E+14
102;5.57E+12;7.91E+10;-8.53E+11;4.50E+12;5.25E+12;5.56E+12;5.76E+12
103;2.43E+12;2.77E+12;2.82E+12;2.20E+12;-5.49E+12;-4.55E+12;-5.25E+12
104;-1.04E+12;-2.74E+12;-4.43E+12;-4.05E+12;3.02E+12;-8.82E+11;-1.49E+12
105;7.15E+10;3.50E+09;-2.71E+10;-1.80E+11;-7.55E+10;-1.06E+11;-5.26E+10
106;-9.32E+12;-9.16E+12;-9.38E+12;-1.27E+13;-7.43E+12;-1.22E+13;-1.14E+13
107;1.81E+13;1.32E+13;1.12E+13;8.95E+12;8.98E+12;6.35E+12;6.14E+12
108;5.72E+12;7.07E+10;-1.56E+12;5.58E+12;9.52E+12;1.29E+13;1.13E+13
109;2.66E+11;8.91E+11;1.02E+12;4.03E+11;1.62E+11;1.20E+11;2.22E+10
110;-2.77E+12;-3.76E+12;-5.39E+12;-7.34E+12;-6.89E+12;-6.84E+12;-6.71E+12
112;-8.15E+10;8.36E+10;1.78E+11;2.17E+11;3.48E+11;2.80E+11;2.93E+11
113;5.61E+11;2.44E+11;2.97E+11;1.80E+11;1.45E+11;1.45E+11;1.09E+11
114;8.68E+12;4.02E+12;2.12E+12;3.50E+12;6.29E+12;4.36E+12;5.68E+12
115;2.16E+13;1.08E+13;9.49E+12;1.23E+13;1.30E+13;8.65E+12;9.67E+12
116;2.16E+12;3.46E+12;4.24E+12;4.74E+12;9.14E+11;9.21E+11;5.60E+11
117;8.57E+11;1.70E+11;-3.58E+11;-7.95E+11;-7.16E+11;-8.45E+11;-8.00E+11
118;3.80E+09;3.16E+09;1.37E+09;1.87E+09;9.57E+09;9.20E+09;8.97E+09
119;4.14E+11;1.23E+11;-2.09E+11;7.99E+11;5.37E+11;5.45E+11;3.94E+11
120;3.73E+12;4.80E+12;5.16E+12;4.99E+12;9.45E+12;6.72E+12;1.19E+13
121;3.02E+10;6.00E+10;8.58E+10;2.24E+10;-2.23E+11;-2.09E+11;-2.11E+11
122;3.14E+11;7.93E+10;1.24E+11;2.41E+11;1.56E+11;4.65E+10;1.54E+11
123;1.81E+12;1.23E+12;9.11E+11;1.42E+12;2.10E+12;1.63E+12;1.77E+12
124;2.75E+10;-3.23E+11;-4.35E+11;-2.32E+11;1.16E+10;-3.63E+10;-3.30E+10
126;5.07E+11;-3.25E+11;-1.12E+12;-4.01E+12;-2.21E+12;-2.01E+12;-2.09E+12
127;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00
129;6.23E+12;1.74E+13;2.01E+13;1.08E+13;3.69E+13;1.89E+13;1.73E+13
130;2.41E+12;2.92E+12;3.03E+12;5.02E+12;5.28E+12;4.14E+12;6.20E+12
131;5.12E+13;3.41E+13;2.56E+13;1.23E+13;1.09E+13;1.00E+13;9.28E+12
133;9.58E+11;9.03E+12;1.09E+13;4.27E+12;6.79E+12;1.34E+13;8.92E+12
136;5.30E+11;2.65E+11;2.47E+11;7.29E+10;8.67E+11;3.22E+11;2.80E+11
137;-4.13E+10;6.46E+10;1.00E+11;9.52E+09;-6.93E+09;-8.57E+09;-1.00E+10
138;3.62E+13;3.51E+13;3.41E+13;1.59E+13;1.72E+13;1.81E+13;2.09E+13
141;8.18E+11;1.02E+12;2.45E+12;2.65E+12;9.74E+11;8.11E+11;8.34E+11
143;4.87E+12;1.93E+12;7.47E+11;-9.27E+11;3.87E+11;1.36E+12;8.70E+11
144;5.46E+12;4.88E+12;4.56E+12;6.35E+12;9.42E+12;6.65E+12;7.87E+12
146;-4.10E+11;-8.03E+11;-1.13E+12;-9.99E+11;-8.02E+11;-8.48E+11;-8.27E+11
147;-2.55E+10;4.12E+11;5.57E+11;1.32E+11;1.16E+12;1.17E+12;1.17E+12
149;5.50E+12;4.96E+12;4.57E+12;4.40E+12;3.87E+12;3.68E+12;3.78E+12
150;-4.77E+11;-4.40E+11;-4.09E+11;-4.30E+11;-4.64E+11;-5.23E+11;-4.42E+11
153;1.36E+10;1.17E+12;1.54E+12;6.29E+11;3.29E+11;2.92E+11;2.60E+11
154;1.68E+11;-1.63E+11;-4.06E+11;-3.92E+11;1.11E+09;-3.87E+11;-6.36E+11
155;2.32E+11;7.21E+11;8.05E+11;2.13E+11;2.11E+11;1.52E+11;2.11E+11
156;6.23E+12;3.98E+12;2.24E+12;3.46E+12;3.78E+12;3.44E+12;4.13E+12
157;8.66E+12;1.63E+13;1.79E+13;1.03E+13;4.22E+12;3.81E+12;3.29E+12
158;2.73E+12;9.32E+12;1.02E+13;1.98E+12;1.47E+12;6.02E+11;4.29E+12
159;1.07E+13;1.31E+12;-1.55E+12;2.39E+13;1.78E+13;8.04E+12;-6.18E+12
162;1.04E+12;1.25E+12;1.13E+12;8.46E+11;1.07E+12;1.16E+12;1.15E+12
165;1.23E+13;1.62E+13;1.88E+13;1.35E+13;2.44E+11;3.77E+12;-4.17E+11
166;5.59E+12;3.47E+12;2.92E+12;2.55E+12;3.15E+12;2.35E+12;1.76E+12
167;-2.22E+11;-4.80E+11;-5.58E+11;-6.60E+11;-1.52E+11;-1.16E+11;-1.60E+11
168;9.50E+12;1.01E+13;1.03E+13;8.26E+12;1.31E+13;1.05E+13;1.46E+13
169;3.06E+13;1.70E+13;1.41E+13;2.35E+13;1.52E+13;1.03E+13;1.65E+13
170;3.22E+13;2.48E+13;2.14E+13;1.63E+13;1.36E+13;1.37E+13;1.27E+13
171;2.47E+13;2.96E+13;3.73E+13;1.55E+13;1.71E+13;1.84E+13;2.28E+13
173;-3.95E+12;-4.53E+12;-4.95E+12;-1.39E+13;-1.80E+13;-1.46E+13;-1.61E+13
174;1.11E+12;-7.69E+11;-1.71E+12;-2.56E+12;-1.63E+12;-1.67E+12;-1.97E+12
175;6.78E+11;7.04E+11;6.77E+11;1.62E+11;7.15E+10;5.33E+10;4.33E+10
177;-5.59E+11;-7.32E+11;-9.31E+11;-7.98E+11;-6.74E+11;-6.95E+11;-7.02E+11
178;-5.08E+11;-3.06E+11;-2.96E+11;3.38E+11;2.95E+11;2.29E+11;2.73E+11
179;2.48E+09;6.37E+09;7.27E+09;9.56E+08;2.98E+10;2.74E+10;2.54E+10
181;3.38E+12;4.67E+12;5.01E+12;4.24E+12;2.41E+12;1.67E+12;4.30E+12
183;5.51E+11;2.24E+11;4.24E+11;-1.51E+12;3.64E+12;-3.21E+11;-6.56E+11
184;2.26E+12;9.45E+11;5.46E+11;2.03E+12;6.57E+11;5.92E+11;1.01E+12
185;8.98E+13;7.01E+13;1.37E+13;-1.08E+13;-4.92E+12;1.74E+13;9.69E+12
