Emissions ktCO2eq;;;;;;;CEPII;;;;;;;;;;;;;;;OECD;;;;;;;;;;;;;;;IIASA;;;;;;;;;;;;;;;PIK;;;;;;;;;;;;;;
Country;Emission type;;;;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;
;;1990;1995;2000;2005;2010;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95
Comoros;hfc;0;0.01;0.01;0.23;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comoros;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comoros;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comoros;GHGexclLU;272.25;306.78;341.19;372.22;436.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comoros;co2lu;291.5;520.6666667;346.1333333;258.5;247.1333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comoros;GHGtot;563.75;827.4466667;687.3233333;630.72;683.5833333;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68;83.68
Congo;co2;2363.49;2658.83;4511.22;4410.29;5364.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo;ch4;7194.18;6688.71;8049.51;7691.04;7015.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo;n2o;4352.4;3840.9;3419.3;3596;2898.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo;hfc;0;0.11;0.85;4.75;6.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo;GHGexclLU;13910.07;13188.55;15980.88;15702.08;15284.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo;co2lu;13933.33333;14886.66667;14703.33333;11403.33333;10266.66667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo;GHGtot;27843.40333;28075.21667;30684.21333;27105.41333;25551.62667;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368;14137.14683;20404.22556;26674.81368
Congo_the Democratic Republic of the;co2;3362.06;3345.58;2750.75;2776.22;3249.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo_the Democratic Republic of the;ch4;98339.43;81607.89;63695.1;57684.69;73858.89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo_the Democratic Republic of the;n2o;87165.8;74889.8;58528;54560;66631.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo_the Democratic Republic of the;hfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo_the Democratic Republic of the;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo_the Democratic Republic of the;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo_the Democratic Republic of the;GHGexclLU;188867.29;159843.27;124973.85;115020.91;143739.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo_the Democratic Republic of the;co2lu;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo_the Democratic Republic of the;GHGtot;188867.29;159843.27;124973.85;115020.91;143739.31;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755;360485.4054;393209.6781;425952.2755
Cook Islands;co2;8.79;12.36;27.61;23.67;28.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cook Islands;ch4;3.15;4.2;4.41;3.57;3.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cook Islands;n2o;3.1;3.1;3.1;3.1;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cook Islands;hfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cook Islands;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cook Islands;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cook Islands;GHGexclLU;15.04;19.66;35.12;30.34;35.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cook Islands;co2lu;1.767333333;36.22666667;70.4;55.36666667;34.83333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cook Islands;GHGtot;16.80733333;55.88666667;105.52;85.70666667;70.36333333;68.61245741;79.25016239;89.96968356;66.52412996;77.03552289;87.58481621;61.42267871;71.47108922;81.40861264;63.40130109;73.65739523;83.82571278;73.02067624;83.93726329;95.01719608;80.82050289;92.69915425;104.5526859;78.26499838;89.8254437;101.3606876;76.64035283;87.99850071;99.39536283;77.777193;89.27689782;100.7707286;86.73242148;99.10096307;111.4915594;85.76304568;98.07242306;110.3677968;82.59546423;94.69273065;106.7340845;78.44275207;90.0253309;101.5756655;75.45480286;86.66532855;97.95815308;88.14835756;100.6678343;113.2109781;80.87284357;92.75801229;104.618362;79.72576119;91.46809762;103.1790232;75.90114621;87.16724963;98.49924289;80.78312016;92.65711671;104.5057787;80.76597657;92.63783843;104.4842672
Costa Rica;co2;2911.89;4973.16;5093.87;6619.05;7235.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;ch4;3768.45;3051.72;2916.9;2434.95;2271.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;n2o;1860;1925.1;1683.3;1472.5;1534.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;hfc;0.01;2.67;25.24;61.47;82.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;GHGexclLU;8540.35;9952.65;9719.31;10587.97;11122.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;co2lu;26656.66667;12210;10413.33333;11293.33333;20753.33333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;GHGtot;35197.01667;22162.65;20132.64333;21881.30333;31876.30333;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370
Cote d'Ivoire;co2;2933.32;3656.26;6752.15;6379.09;6734.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cote d'Ivoire;ch4;12146.19;12079.83;14236.95;12474.42;16138.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cote d'Ivoire;n2o;7616.7;7576.4;8456.8;7471;9836.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cote d'Ivoire;hfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cote d'Ivoire;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cote d'Ivoire;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cote d'Ivoire;GHGexclLU;22696.21;23312.49;29445.9;26324.51;32709.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cote d'Ivoire;co2lu;66366.66667;48400;41066.66667;32816.66667;32926.66667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cote d'Ivoire;GHGtot;89062.87667;71712.49;70512.56667;59141.17667;65635.92667;58708.81719;68275.28039;77747.81902;56405.00568;65729.5415;74975.96522;52835.16652;61798.61034;70912.12052;51008.47458;59805.58998;68784.49118;64019.37821;74024.15583;84090.18446;102852.5241;116503.9056;130190.5209;95495.29372;108436.7891;121397.5359;88888.27095;101175.472;113476.1565;85322.64337;97373.29403;109386.9387;108310.3809;122504.3044;136692.4769;64577.36951;74615.89711;84726.47594;59163.98176;68778.2426;78306.22759;53174.2988;62159.5723;71291.52704;53557.70555;62583.24129;71729.35344;66095.82438;76225.17124;86456.24191;74996.41266;86050.51033;97072.81658;74436.05903;85420.38265;96369.69468;74321.87645;85291.98229;96226.42038;75717.8308;86861.75793;97978.0394;71472.36521;82087.65591;92775.31
Cuba;co2;36948.97;23658.27;28752.47;26089.86;30809.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;ch4;12062.19;10418.52;10561.11;9274.23;8393.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;n2o;9706.1;7533;7328.4;6417;5797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;hfc;0.03;5.47;34.19;127.83;169.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;GHGexclLU;58717.29;41615.26;46676.17;41908.92;45169.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;co2lu;52066.66667;20606.66667;13750;5096.666667;10083.33333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;GHGtot;110783.9567;62221.92667;60426.17;47005.58667;55252.95333;72602.26575;81065.0416;89475.77144;69864.66073;78005.93976;86140.62036;63004.80388;70319.73655;77785.47661;65675.8863;73339.70107;81056.17072;78490.05079;87539.37702;96593.41105;61742.40512;68912.87122;76247.52184;55556.97196;62140.55681;68784.82546;50637.55681;56753.73873;62819.92525;52732.50094;59056.08449;65368.18231;66582.5353;74355.25593;82155.3242;96114.71054;107064.4027;118035.0542;91947.11665;102396.0026;112929.061;86087.42207;95948.88059;105864.059;81895.57917;91307.67856;100736.4391;99314.42323;110649.468;122002.9007;89528.01286;99723.55843;109991.9229;87903.94189;97941.78748;108032.5443;82531.10803;92000.98674;101498.969;89400.97998;99584.19044;109838.7054;89376.7076;99557.56118;109809.4299
Djibouti;co2;805.53;508.64;742.43;959.43;1276.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Djibouti;ch4;417.69;489.3;560.7;590.52;621.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Djibouti;n2o;186;213.9;238.7;244.9;251.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Djibouti;hfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Djibouti;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Djibouti;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Djibouti;GHGexclLU;1409.22;1211.84;1541.83;1794.85;2149.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Djibouti;co2lu;-5.5;-6.453333333;13.09;21.30333333;69.66666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Djibouti;GHGtot;1403.72;1205.386667;1554.92;1816.153333;2219.226667;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814;1844.143158;2247.041181;2650.164814
Dominica;co2;84.69;97.87;126.45;135.75;157.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;ch4;36.33;37.38;38.22;38.64;39.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;n2o;24.8;18.6;21.7;18.6;21.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;hfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;GHGexclLU;145.82;153.85;186.37;192.99;218.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;co2lu;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;GHGtot;145.82;153.85;186.37;192.99;218.98;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594;121.09594
Dominican Republic;co2;8026.15;11976.02;18554.19;19295.48;20694.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominican Republic;ch4;6003.06;6761.37;6236.79;6692.49;6726.51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominican Republic;n2o;2129.7;2396.3;2222.7;2331.2;2148.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominican Republic;hfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominican Republic;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominican Republic;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominican Republic;GHGexclLU;16158.91;21133.69;27013.68;28319.17;29568.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominican Republic;co2lu;1008.333333;1466.666667;960.6666667;-225.5;1481.333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominican Republic;GHGtot;17167.24333;22600.35667;27974.34667;28093.67;31050.29333;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079;23668.45834;27143.48661;30620.46079
Ecuador;co2;16984.34;19097.53;19834.39;27230.39;36681.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;ch4;10987.2;14257.74;12850.32;15134.28;15476.79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;n2o;3193;4064.1;4070.3;4557;5328.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;hfc;0.01;4.03;19.68;62.19;82.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;GHGexclLU;31164.55;37423.4;36774.69;46983.86;57569.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;co2lu;60866.66667;37033.33333;30910;4290;8140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;GHGtot;92031.21667;74456.73333;67684.69;51273.86;65709.96;57445.11888;64157.11187;70834.74793;55797.52008;62294.5039;68801.68854;51293.96148;57255.92844;63323.4579;52643.41005;58782.91148;64977.42149;58967.57119;65833.94887;72662.87085;70978.32828;79083.14861;87230.88199;68278.27914;76109.09466;83967.87388;65792.33081;73361.39298;80938.14848;66412.03676;74037.43971;81681.69356;74232.59047;82668.42885;91172.16541;73835.93156;82224.50481;90684.3018;71057.04239;79169.50598;87325.87089;64017.7341;71406.27812;78788.49936;60512.45955;67527.27763;74525.09959;75968.40025;84611.3522;93305.37475;77369.85162;86182.63177;95016.98306;77009.62108;85779.0174;94577.39731;74764.32838;83260.14249;91822.44684;78233.33516;87150.10767;96075.45603;76697.36264;85429.15258;94196.26413
Egypt;co2;89860.68;97113.23;120145.57;171096.25;208169.34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egypt;ch4;26993.4;31508.19;35956.41;47959.17;50957.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egypt;n2o;19068.1;25389;21892.2;24397;24617.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egypt;hfc;0.03;10.43;94.68;315.45;418.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egypt;pfc;1280.83;1235.41;1363.82;1747.08;1899.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egypt;sf6;717;717;1195;1195;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egypt;GHGexclLU;137920.04;155973.26;180647.68;246709.95;286062.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egypt;co2lu;2977.333333;3850;2665.666667;2258.666667;1815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egypt;co2luUNFCCC;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Egypt;GHGtot;140897.3733;159823.26;183313.3467;248968.6167;287877.5;478820.4013;514121.5547;549442.4757;461462.5374;495479.1086;529514.7282;421822.9433;452905.9558;484006.3739;417225.213;447967.9669;478727.9358;545790.0079;586047.2988;626327.1326;507988.5213;545448.2839;582929.023;480690.9221;516130.5048;551589.9327;454520.7398;488023.578;521545.1768;464006.0167;498210.8201;532434.7772;536910.0164;576510.1366;616132.4318;437512.8047;469756.9575;502019.1661;414916.3071;445488.1886;476077.1895;386270.4341;414722.3557;443190.2095;367141.2384;394177.489;421228.8792;457373.6685;491087.6399;524820.4901;633821.5283;680593.6598;727391.9825;632886.657;679589.6027;726318.7007;618152.6222;663765.1642;709403.248;643079.5536;690536.8325;738020.6862;619302.9583;665000.6319;710723.8949
El Salvador;co2;2588.64;5112.39;5770.74;6857.28;6683.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El Salvador;ch4;2672.88;2694.93;2797.41;3152.1;2972.76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El Salvador;n2o;1336.1;1280.3;1360.9;1398.1;1385.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El Salvador;hfc;0;0.07;41.44;76.37;103.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
