Emissions ktCO2eq;;;;;;;CEPII;;;;;;;;;;;;;;;OECD;;;;;;;;;;;;;;;IIASA;;;;;;;;;;;;;;;PIK;;;;;;;;;;;;;;
Country;Emission type;;;;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;;SSP1;;;SSP2;;;SSP3;;;SSP4;;;SSP5;;
;;1990;1995;2000;2005;2010;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95;2030_P5;2030_mean;2030_P95
Algeria;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria;sf6;239;0;239;239;239;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria;GHGexclLU;104427.33;123279.39;134012.06;150057.41;170554.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria;co2lu;4253.333333;5353.333333;5793.333333;3960;1147.666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algeria;GHGtot;108680.6633;128632.7233;139805.3933;154017.41;171702.5767;197712.6069;221413.7405;245129.4977;190537.6971;213375.8148;236230.9123;158880.2451;177910.5263;196968.1828;180757.3044;202419.0123;224100.9117;223067.7839;249859.8636;276621.4856;208505.1888;233522.4954;258534.7959;203514.9471;227923.6386;252336.4422;192008.8641;215023.9374;238055.5074;210283.3981;235517.5439;260743.464;233561.2478;261632.0845;289654.2154;318787.182;357243.8414;395503.5881;303887.4137;340528.354;376998.2921;283310.6372;317444.0456;351442.2345;268497.6747;300825.9424;333044.7502;330229.3553;370080.3835;409714.6012;143216.6954;160362.9261;177541.6758;138155.7671;154693.2569;171264.9275;110517.1663;123730.217;136947.2316;141978.5462;158975.8493;176006.0779;156500.4775;175244.5144;194016.7081
Andorra;co2;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;ch4;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;n2o;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;hfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;GHGexclLU;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;co2lu;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;GHGtot;0;0;0;0;0;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465;334.2465
Angola;co2;11285.76;13025.84;16601.29;16199.45;24409.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;ch4;22056.3;21420.42;15758.4;16358.58;18602.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;n2o;17722.7;14653.7;2997.7;3047.3;3571.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;hfc;0;0.01;0.66;19.3;25.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;GHGexclLU;51064.76;49099.97;35358.05;35624.63;46607.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;co2lu;27133.33333;23026.66667;19176.66667;26326.66667;50600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;GHGtot;78198.09333;72126.63667;54534.71667;61951.29667;97207.96;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917;98046.77756;111023.4514;124007.3917
Antigua and Barbuda;co2;290.49;309.31;334.4;364.75;415.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ch4;35.49;37.59;36.75;39.69;42.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;n2o;15.5;18.6;21.7;24.8;24.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;hfc;0;0.44;2.76;6.26;8.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;pfc;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;sf6;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;GHGexclLU;341.48;365.94;395.61;435.5;490.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;co2lu;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;GHGtot;341.48;365.94;395.61;435.5;490.92;681.9755455;764.139073;846.3486098;653.604717;732.3501639;811.1397061;582.3210641;652.4783491;722.6749203;610.328924;683.8605596;757.4333709;742.0200522;831.4176638;920.8653356;854.265005;957.1857427;1060.164113;817.4510903;915.9365354;1014.47713;794.0468811;889.7126175;985.431924;810.4238965;908.0627144;1005.756207;936.2759238;1049.07723;1161.941703;923.0997242;1034.313579;1145.589711;879.8038858;985.8015146;1091.858499;820.0117625;918.805714;1017.654987;776.9681652;870.5762801;964.2368129;956.3484615;1071.568081;1186.852221;855.0190109;958.0305902;1061.099853;838.4944488;939.5151704;1040.592461;783.3980681;877.7808494;972.2164823;853.7264794;956.5823362;1059.495789;853.4795134;956.3056161;1059.189298
Argentina;co2;107016;123744.45;144345.82;158242.57;187705.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;ch4;102082.68;102195.45;99214.08;100125.69;87228.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;n2o;38520.6;38514.4;42110.4;50220;52061.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
