;SSP1;;;;;SSP2;;;;;SSP3;;;;;SSP4;;;;;SSP5;;;;
Bulgaria;9881.71;11730.91;17275.73;27716.99;43621.26;9881.71;11730.91;17191.95;26762.01;40132.91;9881.71;11730.91;16476.69;23535.18;31876.81;9881.71;11730.91;16549.9;24548.03;34948.88;9881.71;11730.91;18058.19;31008.77;51896.92
Burkina Faso;1072.18;1204.5;1742.29;2727.01;4186.4;1072.18;1204.5;1696.95;2380.53;3312.53;1072.18;1204.5;1603.56;1943.62;2307.97;1072.18;1204.5;1604.86;1961.82;2375.6;1072.18;1204.5;1798.23;2937.57;4706.32
Burundi;453.44;475.38;488.66;575.04;690.1;453.44;475.38;480.81;526.11;576.18;453.44;475.38;458.72;449.33;433.26;453.44;475.38;458.6;449.65;441.74;453.44;475.38;506.45;627.65;803
Cabo Verde;2912.41;3964.49;6298.07;10236.45;9687.22;2912.41;3964.49;6185.01;9256.07;8393.82;2912.41;3964.49;5887.14;7857.46;6437.48;2912.41;3964.49;5978.65;8602.54;7294.61;2912.41;3964.49;6539.55;11115.83;11160.55
Cambodia;1508.14;1937.08;3224.25;5687.3;5268.12;1508.14;1937.08;3181.13;5275.15;4331.15;1508.14;1937.08;3039.64;4518.07;3005.08;1508.14;1937.08;3079.23;4911.4;3081.73;1508.14;1937.08;3344.51;6248.52;6129.51
Cameroon;1921.79;1948.47;2499.97;3688.64;64662.14;1921.79;1948.47;2446.52;3310;61577.96;1921.79;1948.47;2315.01;2693.69;50741.01;1921.79;1948.47;2318.37;2715.35;70551.16;1921.79;1948.47;2592.47;4041.07;73410.27
Canada;35097.41;35222.83;40748.13;49909.75;16250.95;35097.41;35222.83;40724.07;49551.76;13545.15;35097.41;35222.83;39471.04;45936.4;10270.17;35097.41;35222.83;42376.26;54278.89;11837.79;35097.41;35222.83;42196.34;53514.9;18193.09
Central African Republic;681.8;716.09;795.46;982.1;1261.34;681.8;716.09;773.8;857.9;984.69;681.8;716.09;731.43;693.77;668.18;681.8;716.09;732.14;701.07;689.46;681.8;716.09;822.65;1068.99;1448.92
Chad;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;12773.42;14435.09;19094.04;24035.71;30527.94;12773.42;14435.09;18876.31;22470.77;26728.45;12773.42;14435.09;17995.39;19247.96;20310.63;12773.42;14435.09;18170.05;20571.2;23107.1;12773.42;14435.09;20070.3;27129.79;36857.45
China;4069.45;6708.41;13610.15;25302.79;42871.89;4069.45;6708.41;13525.92;24307;39680.4;4069.45;6708.41;12964.28;21481.59;32157.11;4069.45;6708.41;13027.42;22361.38;34605.25;4069.45;6708.41;14180.68;27993.73;49591.51
China_Taiwan;;;;;;;;;;;;;;;;;;;;;;;;;
Colombia;7280.28;8449.58;9892;11698;14179.44;7280.28;8449.58;9751.11;10822.33;12332.85;7280.28;8449.58;9295.28;9182.54;9170.87;7280.28;8449.58;9432.31;9996.44;10619.47;7280.28;8449.58;10348.62;12968.05;16691.78
Comoros;1126.8;1057.71;1208.54;1708.08;2382.55;1126.8;1057.71;1171.43;1465.41;1846.09;1126.8;1057.71;1097.03;1130.58;1160.41;1126.8;1057.71;1099.03;1144.85;1197.22;1126.8;1057.71;1248.91;1847.82;2690.69
Congo;3371.94;3748.22;3711.12;3717.94;500.12;3371.94;3748.22;3649;3442.31;414.42;3371.94;3748.22;3525.69;3066.87;275.97;3371.94;3748.22;3578.43;3230.32;276.59;3371.94;3748.22;3744.96;3603.56;617.53
Congo_the Democratic Republic of the;294.39;335.68;350.21;393.09;3508.76;294.39;335.68;341.97;350.01;3072.38;294.39;335.68;322.32;282.74;2543.81;294.39;335.68;321.76;281.53;2765.34;294.39;335.68;365.39;443.81;3319.64
Cook Islands;;;;;;;;;;;;;;;;;;;;;;;;;
Costa Rica;9019.11;10456.93;13572.08;17877.46;23350.09;9019.11;10456.93;13338.21;16316.62;19738.42;9019.11;10456.93;12660.36;13675.82;14466.76;9019.11;10456.93;12785.6;14579.81;16141.01;9019.11;10456.93;14241.27;20124.32;28219.18
Cote d'Ivoire;1726.06;1761.36;1869.56;2275.59;2843.96;1726.06;1761.36;1821.97;2012.34;2309.06;1726.06;1761.36;1711.65;1592.34;1571.78;1726.06;1761.36;1701.45;1526.06;1478.05;1726.06;1761.36;1967.57;2753.13;4049.37
Croatia;15517.56;16210.03;21257.71;31892.93;47855.71;15517.56;16210.03;21148.32;30701.51;43607.48;15517.56;16210.03;20328.39;27313.16;35415.49;15517.56;16210.03;20457.55;28651.71;38974.36;15517.56;16210.03;22136.48;35198.16;55939.18
Cuba;;;;;;;;;;;;;;;;;;;;;;;;;
Cyprus;17912.64;18936.93;21936.41;29034.44;39150.39;17912.64;18936.93;21803.88;27881.1;36122.48;17912.64;18936.93;20859.52;24189.9;27680.81;17912.64;18936.93;21040.74;25763.61;31542.87;17912.64;18936.93;22840.27;32005.54;45846.79
Czech Republic;21275.12;23549.13;29422.84;40155.88;53889.72;21275.12;23549.13;29364.97;39477.64;50793.15;21275.12;23549.13;28411.53;36744.03;44173.94;21275.12;23549.13;30592.72;43986.2;60061.86;21275.12;23549.13;30572.91;43612.58;61785.15
Denmark;33203.8;32359.38;36357.93;42507.98;50439.84;33203.8;32359.38;35652.06;40337.42;45509.23;33203.8;32359.38;33811.18;35938.08;37176.62;33203.8;32359.38;37907.3;47331.71;58591.4;33203.8;32359.38;37602.43;45266.96;56310.56
Djibouti;1914.98;2258.64;2377.96;2637.16;3142.08;1914.98;2258.64;2349.25;2444.17;2698.07;1914.98;2258.64;2248.4;2095.68;2045.29;1914.98;2258.64;2244.08;2095.54;2080.97;1914.98;2258.64;2473.73;2917.77;3690.45
Dominica;;;;;;;;;;;;;;;;;;;;;;;;;
Dominican Republic;6326.36;8312;12462.46;20254.54;31661.16;6326.36;8312;12284.41;18702.22;27273.97;6326.36;8312;11658.93;15609.65;19829.93;6326.36;8312;11825.16;17068.02;23249.31;6326.36;8312;13017.33;22455.53;37087.83
Ecuador;7128.62;7691.75;8972.02;10170.25;11332.12;7128.62;7691.75;8845.18;9425.29;9901.78;7128.62;7691.75;8400.49;7803.48;7077.36;7128.62;7691.75;8583.78;8756.24;8573.11;7128.62;7691.75;9266.14;10816.24;12510.58
Egypt;4642.36;5759.1;7769.94;12090.27;18977.21;4642.36;5759.1;7662.28;11174.67;16433.34;4642.36;5759.1;7317.76;9518.89;12298.56;4642.36;5759.1;7406.25;10132.63;13515.19;4642.36;5759.1;8253.25;14507.47;25804.6
El Salvador;5681.51;5953.33;7772.63;11100.99;15782.63;5681.51;5953.33;7645.98;10140.9;13427.11;5681.51;5953.33;7260.73;8454.5;9764.55;5681.51;5953.33;7365.25;9248.48;11323.67;5681.51;5953.33;8120.15;12322.46;18377.51
Equatorial Guinea;24981.79;25619.22;28207.21;31466.02;34197.16;24981.79;25619.22;27711.85;29191.85;30019.42;24981.79;25619.22;26972.13;26717.18;25549.67;24981.79;25619.22;27328.47;27693.24;27134.41;24981.79;25619.22;28500.5;31032.92;34557.73
Eritrea;;;;;;;;;;;;;;;;;;;;;;;;;
Estonia;16810.02;17277.03;30747.73;55647.56;99479.38;16810.02;17277.03;30665.96;54558.25;92178.55;16810.02;17277.03;29638.69;50364.82;75104.36;16810.02;17277.03;29577;50095;79832.63;16810.02;17277.03;31833.81;59437.1;110155.92
Ethiopia;614.01;879.04;1194.35;1594.89;2167.38;614.01;879.04;1172.27;1428.76;1777.3;614.01;879.04;1116.33;1192.81;1276.66;614.01;879.04;1112.77;1181.28;1276.7;614.01;879.04;1239.95;1771.8;2576.54
European Union;;;;;;;;;;;;;;;;;;;;;;;;;
Fiji;4323.66;4155.01;4564.43;5152.7;5903.22;4323.66;4155.01;4513.97;4786.15;5113.13;4323.66;4155.01;4316.74;4120.05;3945.72;4323.66;4155.01;4368.55;4437.06;4439.54;4323.66;4155.01;4807.46;5924.07;7351.32
Finland;30706.39;31284.62;38557;46775.52;56268.09;30706.39;31284.62;37644.07;43486.26;49882.29;30706.39;31284.62;35517.98;38055.42;40091.39;30706.39;31284.62;40199.93;52554.55;67960;30706.39;31284.62;39966.99;50316.28;63578.89
France;30282.38;30362.25;33825.78;39717.43;48344.8;30282.38;30362.25;33627.23;38418.97;44297.98;30282.38;30362.25;32166.43;34277;35825.09;30282.38;30362.25;35177.29;43430.38;54647.32;30282.38;30362.25;35048.95;42623.44;54461.82
Gabon;12931.85;12810.81;14154.44;14982.37;14753.51;12931.85;12810.81;13958.65;14011.57;13154.93;12931.85;12810.81;13443.2;12355.71;10670.93;12931.85;12810.81;13625.02;13039.54;11672.99;12931.85;12810.81;14348;14890.11;14559.58
Gambia;1642.24;1763.78;2028.86;3129.3;4777.96;1642.24;1763.78;1976.8;2759.75;3846.78;1642.24;1763.78;1871.47;2250.47;2661.26;1642.24;1763.78;1871.39;2260.03;2716.64;1642.24;1763.78;2100.11;3426.29;5544.76
Georgia;3518.59;4612.33;9676.46;20759.59;42010.58;3518.59;4612.33;9602.24;19897.29;38751.7;3518.59;4612.33;9167.6;17238.45;30287.39;3518.59;4612.33;9271.47;18416.21;34031.5;3518.59;4612.33;10034.41;22224.36;44955.29
Germany;30607.38;33063.55;38132.95;44305.37;54129.47;30607.38;33063.55;38152.02;43966.98;51078.23;30607.38;33063.55;36951.26;39916.13;41947.29;30607.38;33063.55;39680.31;48576.05;60671.59;30607.38;33063.55;39553.95;47901.48;61648.3
Ghana;1222.46;1486.31;2255.79;3226.99;4701.24;1222.46;1486.31;2198.64;2828.62;3768.83;1222.46;1486.31;2084.36;2326.13;2669.09;1222.46;1486.31;2076.68;2298.03;2662;1222.46;1486.31;2351.34;3620.72;5633.58
Greece;24485.85;24425.34;25678.36;34347.95;46214.88;24485.85;24425.34;25651.36;33936.59;44269.71;24485.85;24425.34;24760.99;30948.13;36480.28;24485.85;24425.34;26619.66;36829.48;48809.54;24485.85;24425.34;26610.47;36905.21;51823.83
Grenada;;;;;;;;;;;;;;;;;;;;;;;;;
Guatemala;4073.83;4309.05;4969.02;6900.93;9488.42;4073.83;4309.05;4825.18;5968.72;7448.9;4073.83;4309.05;4546.73;4778.88;5116.02;4073.83;4309.05;4543.12;4783.6;5213.77;4073.83;4309.05;5187.76;7715.79;11355.38
Guinea;916.65;897.95;1138.01;1632.64;2313.91;916.65;897.95;1109.77;1431.3;1826.36;916.65;897.95;1048.65;1149.15;1220.78;916.65;897.95;1049.72;1162.65;1258.11;916.65;897.95;1176.93;1778.23;2644.85
Guinea-Bissau;978.2;1034.95;1082.79;1331.23;1665.59;978.2;1034.95;1055.03;1174.54;1342.51;978.2;1034.95;999.93;956.02;911.64;978.2;1034.95;1000.1;961.92;933.65;978.2;1034.95;1120.84;1444.32;1883.97
Guyana;2487.71;2682.11;3708.06;4876.59;6328.59;2487.71;2682.11;3659.76;4502.77;5514.83;2487.71;2682.11;3485.95;3810.46;4212;2487.71;2682.11;3506.93;3941.83;4282.44;2487.71;2682.11;3913.4;5812.7;8446.33
Haiti;1032.78;1002.14;1083.44;1267.25;1631.56;1032.78;1002.14;1065.37;1159.53;1398.55;1032.78;1002.14;1006.91;941.69;953.92;1032.78;1002.14;1000.38;914.33;927.09;1032.78;1002.14;1136.04;1480.41;2088.7
Honduras;3267.56;3530.95;4621.56;6573.45;9299.74;3267.56;3530.95;4507.4;5785.73;7407.78;3267.56;3530.95;4247.83;4664.05;5092.74;3267.56;3530.95;4239.89;4650.01;5152.12;3267.56;3530.95;4836.88;7374.02;11085.24
Hungary;16959.55;16947.54;21612.49;30055.37;39807.5;16959.55;16947.54;21566.86;29506.41;37414.61;16959.55;16947.54;20839.3;27320.81;32386.25;16959.55;16947.54;22441.57;32726.05;43934.83;16959.55;16947.54;22444.43;32509.3;45128.48
Iceland;34887.89;32754.13;36121.05;41925.2;49875.96;34887.89;32754.13;34746.25;38365.74;43498.18;34887.89;32754.13;32481.64;33332.41;34386.65;34887.89;32754.13;37678.22;46810.05;59193.74;34887.89;32754.13;37484.04;45409.52;57365.58
India;2233.86;3121.61;4825.33;8004.07;13191.73;2233.86;3121.61;4728.45;7219.47;10961.51;2233.86;3121.61;4487.84;6002.66;7869.22;2233.86;3121.61;4540.35;6459.73;8924.99;2233.86;3121.61;5091.12;9215.18;16457.61
