;SSP1;;;;;SSP2;;;;;SSP3;;;;;SSP4;;;;;SSP5;;;;
Cote d'Ivoire;30.02306914;27.71242031;33.76577009;50.85198728;85.62737809;30.02306914;27.71242031;31.68729932;42.79034506;64.96661516;30.02306914;27.71242031;29.51398339;34.37702478;42.88277169;30.02306914;27.71242031;29.23085083;34.59310312;45.65879941;30.02306914;27.71242031;33.84668412;52.69386633;94.30799121
Croatia;68.1689522;67.71073136;87.05458997;103.7449697;118.0144613;68.1689522;67.71073136;87.3495676;102.5208876;115.4911612;68.1689522;67.71073136;86.99215136;99.46976142;108.5241402;68.1689522;67.71073136;85.86370221;95.34316945;100.0874098;68.1689522;67.71073136;87.93934052;109.4101741;132.2540999
Cuba;;127.9603339;190.1908385;238.5982205;270.2016204;;127.9603339;189.8738386;233.4873588;260.5185772;;127.9603339;189.0901238;229.0812028;251.4396124;;127.9603339;184.7628538;211.5537003;217.0632975;;127.9603339;190.4459705;242.6016248;282.8138894
Cyprus;18.51389686;20.61223245;33.93317552;51.48420358;66.15791211;18.51389686;20.61223245;34.12255326;51.83110161;66.8858399;18.51389686;20.61223245;31.56263457;43.3593919;52.57472249;18.51389686;20.61223245;33.35307439;47.72555633;57.32671174;18.51389686;20.61223245;34.59177376;55.72363191;77.07609474
Czech Republic;208.425032;235.475817;274.0415381;296.4410624;342.8312908;208.425032;235.475817;274.5227307;290.1202756;324.7631908;208.425032;235.475817;270.2415917;267.9236317;274.0126916;208.425032;235.475817;274.0685274;283.8986719;307.6633045;208.425032;235.475817;279.6557378;324.6103045;412.5697943
Denmark;179.8884924;186.6386911;198.2089911;226.6053299;268.3734312;179.8884924;186.6386911;198.8748866;223.9772177;258.289029;179.8884924;186.6386911;196.7858367;210.8978368;225.9288055;179.8884924;186.6386911;199.5259964;220.9520393;245.4541685;179.8884924;186.6386911;201.8970017;246.306492;321.0303969
Djibouti;1.487587814;1.68877572;2.192710259;2.844130918;4.132204351;1.487587814;1.68877572;2.146663444;2.527748597;3.271609041;1.487587814;1.68877572;2.082976266;2.174967903;2.41186212;1.487587814;1.68877572;2.083308869;2.240742495;2.649254262;1.487587814;1.68877572;2.218569541;3.054359347;4.869061024
Dominica;;;;;;;;;;;;;;;;;;;;;;;;;
Dominican Republic;59.10944266;96.12335752;146.8539235;190.0197092;243.7292682;59.10944266;96.12335752;145.8779858;177.9910795;226.2557365;59.10944266;96.12335752;143.2764464;169.6770412;206.6519172;59.10944266;96.12335752;138.6575696;152.352867;169.4431966;59.10944266;96.12335752;147.2212724;194.8929404;259.4385096
Ecuador;87.41117301;89.92403178;139.2932983;208.8724759;285.7996429;87.41117301;89.92403178;136.3161678;197.3076334;264.6678191;87.41117301;89.92403178;129.1521618;169.2512791;210.7358752;87.41117301;89.92403178;125.4227521;155.6288008;182.1452834;87.41117301;89.92403178;140.0648816;216.5472295;310.2407013
Egypt;333.2184115;390.9374647;636.9306418;962.2355573;1430.798234;333.2184115;390.9374647;629.4267694;902.8918054;1290.075069;333.2184115;390.9374647;620.1698957;828.6648489;1075.237283;333.2184115;390.9374647;604.9333527;772.3100442;958.72352;333.2184115;390.9374647;642.4925549;1014.381676;1608.965366
El Salvador;34.50116035;38.24403328;46.95833653;58.83609724;75.89196896;34.50116035;38.24403328;45.65562894;54.31418656;67.58616914;34.50116035;38.24403328;45.37623406;53.45418453;66.28693344;34.50116035;38.24403328;43.17024587;45.09559022;48.84569415;34.50116035;38.24403328;46.2608586;55.91494165;70.06489993
Equatorial Guinea;15.08007488;13.93104585;21.78942452;27.55456937;37.03192531;15.08007488;13.93104585;21.58662961;28.42214933;37.57060402;15.08007488;13.93104585;20.96430863;26.40698986;33.38885617;15.08007488;13.93104585;20.98229449;26.49947456;33.64056349;15.08007488;13.93104585;22.22821622;30.65403556;42.46595588
Eritrea;2.674281821;3.347149713;6.352113492;17.53000298;34.55626523;2.674281821;3.347149713;6.301790455;16.14161997;29.05212784;2.674281821;3.347149713;6.004832002;13.3066869;20.58746151;2.674281821;3.347149713;6.031725883;13.85889676;22.89315016;2.674281821;3.347149713;6.45837195;19.1088045;41.5458749
Estonia;22.27516011;21.16585899;27.64183698;33.54113702;37.9215637;22.27516011;21.16585899;27.676314;32.59026689;35.70279404;22.27516011;21.16585899;27.4629621;30.67825505;31.2386733;22.27516011;21.16585899;27.72799402;31.83666775;33.76727278;22.27516011;21.16585899;28.03612956;35.92726481;43.94996347
Ethiopia;47.23691785;58.33955478;125.3638418;189.6187881;289.0120049;47.23691785;58.33955478;114.4219908;161.3065613;226.0690015;47.23691785;58.33955478;107.0939386;134.9900259;161.8452155;47.23691785;58.33955478;107.1375968;140.70362;183.3951118;47.23691785;58.33955478;126.8230663;204.8024175;346.6801584
European Union;;;;;;;;;;;;;;;;;;;;;;;;;
Fiji;3.556144034;3.718428589;5.949237245;10.37870397;14.11454671;3.556144034;3.718428589;6.020564694;10.34044953;13.93812105;3.556144034;3.718428589;5.998273604;10.19747132;13.49951011;3.556144034;3.718428589;5.783409983;8.847382189;10.31836021;3.556144034;3.718428589;5.902471108;10.15417134;13.69296982
Finland;161.0968321;168.9787213;209.2284218;263.1581543;319.3622538;161.0968321;168.9787213;208.9417301;259.0044452;306.8801451;161.0968321;168.9787213;187.7558315;202.3514403;216.1319036;161.0968321;168.9787213;209.3402961;257.1158717;296.125662;161.0968321;168.9787213;212.7407047;283.547504;374.8460736
France;1860.699687;1986.57805;2549.567943;3659.01493;4874.210098;1860.699687;1986.57805;2539.826655;3590.506402;4683.447693;1860.699687;1986.57805;2001.554722;2144.269615;2383.960755;1860.699687;1986.57805;2541.630343;3547.247378;4496.537811;1860.699687;1986.57805;2586.405842;3881.518521;5510.127779
Gabon;17.83902927;15.56850806;18.45416913;24.16096911;32.7968351;17.83902927;15.56850806;17.69646097;21.55597512;28.04085952;17.83902927;15.56850806;16.4096115;17.74719917;20.61957298;17.83902927;15.56850806;16.32446462;17.51909658;20.36218152;17.83902927;15.56850806;18.62806236;25.33247968;36.25396711
Gambia;1.742509832;2.508389567;5.433009136;9.420592707;14.81222853;1.742509832;2.508389567;5.148540557;7.973745468;11.67201971;1.742509832;2.508389567;4.887284293;6.59834086;8.091391838;1.742509832;2.508389567;4.865580333;6.785661106;8.926483798;1.742509832;2.508389567;5.474875939;9.963089469;16.99648106
Georgia;15.74675995;23.37233949;63.71684781;113.1419645;112.2264726;15.74675995;23.37233949;63.79597667;110.931689;108.7323674;15.74675995;23.37233949;64.59645297;113.0462799;115.5717705;15.74675995;23.37233949;62.4063452;102.1651265;94.08029532;15.74675995;23.37233949;63.4337517;112.9007203;115.5552134
Germany;2565.997353;2659.215423;2699.88541;2846.728763;3189.102909;2565.997353;2659.215423;2690.457367;2785.337675;3033.492982;2565.997353;2659.215423;2641.654474;2599.014351;2639.399011;2565.997353;2659.215423;2701.670259;2775.333786;2946.352895;2565.997353;2659.215423;2740.335316;3056.427856;3731.202149
Ghana;26.141197;29.64047903;50.03445248;83.40083239;146.8697372;26.141197;29.64047903;47.84033601;69.09286697;104.894656;26.141197;29.64047903;46.44693319;60.23856946;78.36741708;26.141197;29.64047903;46.46052971;62.59254681;88.01179825;26.141197;29.64047903;50.63301499;89.83585357;173.8710163
Greece;270.3638063;293.1664222;393.5927848;530.6300993;691.1806727;270.3638063;293.1664222;393.071874;521.0185844;663.6014262;270.3638063;293.1664222;316.495428;325.065973;353.2749917;270.3638063;293.1664222;391.7787848;506.102572;621.2680644;270.3638063;293.1664222;398.2003063;557.4048193;769.9357053
Grenada;;;;;;;;;;;;;;;;;;;;;;;;;
Guatemala;51.65182018;83.48841969;145.6472466;220.8887432;307.3042433;51.65182018;83.48841969;136.8988198;196.4397408;272.080944;51.65182018;83.48841969;131.1457806;180.1166183;239.4662512;51.65182018;83.48841969;129.3908251;173.5216241;227.7409163;51.65182018;83.48841969;145.7419578;224.2571922;320.9301565
Guinea;8.778188406;8.275448;11.60788828;19.73960444;35.67806617;8.778188406;8.275448;10.86257617;17.14302004;26.78828715;8.778188406;8.275448;9.40398655;11.30738524;13.93987451;8.778188406;8.275448;9.332058004;11.41959284;14.97807675;8.778188406;8.275448;11.60740592;20.2857023;38.59094335
Guinea-Bissau;1.390527001;1.254094031;2.24845737;3.747968959;6.211810165;1.390527001;1.254094031;2.101945962;3.090103619;4.506268531;1.390527001;1.254094031;1.945062499;2.458339164;2.947752676;1.390527001;1.254094031;1.942322049;2.52767705;3.248825045;1.390527001;1.254094031;2.268245012;3.9919524;7.237646025
Guyana;1.892736259;3.265309886;4.132471605;5.403503738;7.243932677;1.892736259;3.265309886;4.037450914;4.933727398;6.251422852;1.892736259;3.265309886;4.051272899;4.849651892;6.053206759;1.892736259;3.265309886;3.900792847;4.22725821;4.804625865;1.892736259;3.265309886;4.097932687;5.311465637;7.116100794
Haiti;9.564420027;14.11586984;21.74744577;38.31394699;63.59196851;9.564420027;14.11586984;20.87726306;33.38668535;50.66430883;9.564420027;14.11586984;19.71889802;27.83808179;36.82877386;9.564420027;14.11586984;19.46664073;27.25956999;36.75081924;9.564420027;14.11586984;21.70808478;38.84256972;67.07001924
Honduras;22.54230392;28.26227725;44.05944248;67.76984632;97.19965916;22.54230392;28.26227725;41.13370324;57.87835067;78.82446152;22.54230392;28.26227725;38.65796448;49.95894967;62.10541965;22.54230392;28.26227725;38.27878146;48.98215687;61.47179689;22.54230392;28.26227725;44.16178235;69.49525309;103.842166
Hungary;171.2234882;165.329354;205.2675519;261.1117491;306.0248517;171.2234882;165.329354;204.9154982;253.6504883;289.205538;171.2234882;165.329354;201.8099644;235.8625359;249.0408652;171.2234882;165.329354;203.7411531;245.545601;270.7021344;171.2234882;165.329354;208.4509091;280.8747565;358.6115713
Iceland;10.35280818;11.42423744;15.96351235;22.77503533;30.93881791;10.35280818;11.42423744;15.68925477;21.7954501;28.53655939;10.35280818;11.42423744;15.30175278;19.8417515;23.62690537;10.35280818;11.42423744;15.65877363;21.2791442;26.48433189;10.35280818;11.42423744;16.32255875;24.69057636;35.90366678
India;2517.281595;3885.401318;10511.37259;21326.11747;31373.29665;2517.281595;3885.401318;10137.4334;19713.01669;28592.94159;2517.281595;3885.401318;9848.70134;17858.64628;24105.75092;2517.281595;3885.401318;9625.012983;16666.82212;21177.36387;2517.281595;3885.401318;10603.60812;22408.69466;34960.60146
Indonesia;705.1589507;978.8283899;2094.402237;3872.288022;5594.174645;705.1589507;978.8283899;2071.407218;3724.88697;5214.777586;705.1589507;978.8283899;2059.422628;3560.754517;4758.109049;705.1589507;978.8283899;2014.851508;3295.533285;4102.6396;705.1589507;978.8283899;2108.621562;4025.611515;6101.709292
Iran, Islamic Republic of;643.503424;806.7766951;1099.776999;1339.791295;1671.286392;643.503424;806.7766951;1091.629864;1300.733551;1588.16614;643.503424;806.7766951;1077.811513;1214.674753;1351.94031;643.503424;806.7766951;1051.821301;1134.056044;1206.031595;643.503424;806.7766951;1108.358785;1401.732742;1848.111821
Iraq;82.51031162;136.305235;416.1795668;933.7080221;1343.452839;82.51031162;136.305235;404.7977506;893.1426203;1340.753362;82.51031162;136.305235;367.9298759;720.7819696;1039.285333;82.51031162;136.305235;363.6861938;696.8708547;989.1998405;82.51031162;136.305235;418.4617928;964.0623945;1442.919983
Ireland;160.6692739;153.0008871;193.6848739;267.2217529;344.3925183;160.6692739;153.0008871;193.4169147;262.476277;330.5296175;160.6692739;153.0008871;169.2111152;192.2377945;214.8444323;160.6692739;153.0008871;194.9323895;261.5924989;320.7854537;160.6692739;153.0008871;197.4956834;290.3313088;409.0753776
Israel;162.0958137;184.9040154;221.1786585;260.9289253;336.091031;162.0958137;184.9040154;220.7067341;254.0343737;319.1955322;162.0958137;184.9040154;273.4695969;363.5632046;450.3382047;162.0958137;184.9040154;217.5831983;237.9990203;277.3083327;162.0958137;184.9040154;227.3780351;290.6810644;410.1739921
Italy;1649.43763;1675.320534;2188.112761;3204.777135;4178.237031;1649.43763;1675.320534;2188.677526;3166.153741;4059.657176;1649.43763;1675.320534;1748.59398;1949.814848;2151.789213;1649.43763;1675.320534;2187.160535;3126.842673;3935.523036;1649.43763;1675.320534;2222.448839;3401.397044;4714.611739
Jamaica;18.62553876;24.87136161;33.80906426;53.93012066;69.96480881;18.62553876;24.87136161;33.72918738;52.59111818;68.63274702;18.62553876;24.87136161;33.15476026;52.46064897;72.93620962;18.62553876;24.87136161;32.76943134;46.96327967;55.55265961;18.62553876;24.87136161;33.55788443;52.77444236;67.84664883
Japan;3872.843144;4064.124653;4130.50439;4481.307158;4939.709523;3872.843144;4064.124653;4109.854744;4371.083674;4674.295505;3872.843144;4064.124653;3839.77064;3727.393391;3706.562855;3872.843144;4064.124653;4150.325227;4428.936702;4659.872247;3872.843144;4064.124653;4179.990079;4742.005276;5609.69259
Jordan;23.45602469;29.12426202;59.92195308;114.7690184;176.1950877;23.45602469;29.12426202;59.51258384;110.1392645;167.1798944;23.45602469;29.12426202;58.13088843;95.40510852;128.6488361;23.45602469;29.12426202;58.21938433;100.0075182;142.5208151;23.45602469;29.12426202;61.1983592;126.31677;211.2542294
Kazakhstan;131.7654909;180.6763471;375.0154108;492.4619576;552.0102022;131.7654909;180.6763471;376.667746;496.0482266;561.6412604;131.7654909;180.6763471;377.2569587;495.4318473;560.1026668;131.7654909;180.6763471;368.5393068;453.3643386;473.5348643;131.7654909;180.6763471;378.0223094;514.4427005;606.6251547
Kenya;47.95137676;47.01295901;93.04372905;203.3408243;389.6380999;47.95137676;47.01295901;90.46605989;179.037514;311.1432659;47.95137676;47.01295901;83.94366373;143.193478;212.8761502;47.95137676;47.01295901;83.59768124;145.518782;228.3666469;47.95137676;47.01295901;93.93190299;216.583172;451.2388877
Kiribati;;;;;;;;;;;;;;;;;;;;;;;;;
Korea, Democratic People's Republic of;;;;;;;;;;;;;;;;;;;;;;;;;
Korea, Republic of;1096.741054;1214.993576;1354.147669;1426.254156;1566.535433;1096.741054;1214.993576;1345.302066;1385.332023;1474.09883;1096.741054;1214.993576;1365.089487;1379.029158;1378.074757;1096.741054;1214.993576;1360.446424;1395.362285;1432.762293;1096.741054;1214.993576;1370.506629;1511.48788;1782.613944
Kuwait;110.4445924;116.3526592;152.8973418;150.2794683;171.6417513;110.4445924;116.3526592;153.0978713;151.2614085;174.5976729;110.4445924;116.3526592;148.4027575;137.7376104;150.0347117;110.4445924;116.3526592;148.9822487;137.2281913;143.1847628;110.4445924;116.3526592;160.148962;172.2164579;212.2979321
Kyrgyzstan;8.886594659;12.495919;43.22871373;125.5111637;182.5315751;8.886594659;12.495919;43.09807527;120.7901249;180.8306663;8.886594659;12.495919;43.48080763;124.2296186;192.2877595;8.886594659;12.495919;41.90980857;108.0882624;147.2457578;8.886594659;12.495919;43.10363916;125.3122095;184.5816155
Lao People's Democratic Republic;9.69184377;16.49381658;32.39731201;44.65927897;59.52998248;9.69184377;16.49381658;31.03728584;39.21490443;48.47806207;9.69184377;16.49381658;30.52507491;36.24761858;40.46556908;9.69184377;16.49381658;30.30203758;36.07527535;41.53700561;9.69184377;16.49381658;32.56511611;46.64271291;66.49505569
Latvia;30.02819362;28.51706744;39.71607712;50.66481067;55.13194334;30.02819362;28.51706744;39.84520754;49.87472618;53.84646295;30.02819362;28.51706744;39.95228398;49.01101953;51.96880705;30.02819362;28.51706744;39.14773813;46.37185266;46.99485878;30.02819362;28.51706744;39.98879501;52.77741264;60.30782582
Lebanon;38.88414893;52.90499525;82.40932597;99.07831319;118.9004403;38.88414893;52.90499525;81.98355649;96.33991734;115.5760118;38.88414893;52.90499525;81.53278603;92.7552436;106.7639963;38.88414893;52.90499525;79.56279758;85.08753008;92.57842425;38.88414893;52.90499525;83.00036122;102.9946937;129.3569865
